stemming,sentiment_label
otapi nya banget ssudah menit diklak klik2 ntidak muncul2,negative
tetep ngtidak sign passwordnya ttep suruh pake kombinasi angka karakter spesial ngtidak unsur nama tgl lahir pdhal ssudah terap tetep ngtidak,negative
bikin account bilang kombinasi password penuh syarat aneh kelas starbucks appsnya,negative
useless app downloaded far,negative
tiba2 aplikasi passcode nya logout login ulang tidaknti password trus gilir otapi nya error masukin otapi aplikasi tutup hmmm cape jutidak lama2,negative
top loading doang banget ulang kali coba gitu gitu aja,positive
sarandikasih fitur remove card tidaknti akun aktif,negative
app oppositeit takes seconds fully operated due security issues every time open another apps asks pin even dont continue last activity reload appif forget bringing wallet turns balance low trying top app queueing cashier nightmare gives insecurities takes repetitions make top successful sometimes give real card instead since takes time load card appnightmare gives insecurities waiting line,positive
aplikasi atidak lambat bagus mohon tambah fitur hapus starbucks card ssudah reported loststolen biar efisien,negative
atidakin atidakin update always force relogin takes time get otapi server slow,negative
kesel bgt mulu akun sekali masukin akun lg bru udh masuk kode otapi diblg invalid tidakjelas bgt kesel,negative
aplikasi gin simple cepat akses password ngtidak variasi karakter pwd mobile banking ngtidak seribet gin blm apa2x konfirmasi mending hapus deh ngopi ribet,negative
parah banget aplikasi akun tiba2 logout login alamat email invalid berkali2 coba bisa2 dana kartu 800k fisik kartu ssudah bawa2 pakai aplikasi buruk aplikasi starbuck hire profesional maintenance aplikasi dunk,negative
hai starbucks tolong baik sebenernya aplikasi bagus loh,negative
use youre front long queue,negative
udh ikut sesuai prosedur nya pass salah udh centang,negative
app doesnt anything except displaying error messages,negative
barusan register coba log terbyata kolom password tdk password trs sy skrg tdk log sumpah lucu banget bikin akun gk log lol developer payah,positive
udh kali kali join mulu astatidak udh ikutin instruksinyaa,positive
try many times login,negative
abis bikin starbucks card top 100k pas sign trus add card fisik nya saldo nya rupiah gimana ya,positive
login email pass bener,negative
gimana ya stentidakh jam cm sign inmasukin otapi berkali2loading app crashtingkatin quality controlnya beneran kelas starbuckswasting time,negative
susah banget sih bikin akun password sesuai aja salah heran gua mah,negative
app simple hold sbux card qr code balance top functionhowever developer use complicated password requirement number uppercase special characters makes forget password every time tries loginits overkill protect measly amount money sbux card banks better job protecting money using simpler security method,positive
aplikasi respon kartu apple wallet,negative
ya pas sign kode otapinya tidakmasuk2,negative
install error pas akun pasword nya sesuai tentu,negative
berkalikali coba utk daftar dentidakn alas password blm sesuai ssudah ceklis hijau tentu password jg risi nama tangtidakl lahir tetep aja tidakbisa aplikasi bapuk bgt si kelas starbuck kalo emg tidakbisa aplikasi bagus ntidaksih card starbuck reward customer belanja karna tidakbisa buka jutidak nih apps,positive
update baru slow banget unresponded via website jg server busy melulu,negative
useless im ngl least try make app work loll starbucks huge brand yet app system looks like joke,positive
got birthday reward years didnt get anything,positive
tolong aplikasi updated donk join masukin pasword sdh bener semuaa ttapi gk masuk,positive
app convenient quickly checking balance rewards custom topup amount opposed 100k topup counter several things find irritating app restarts asks pin everytime switch apps reward expiry date showing hopefully fixed im happy customeredit apparently changing phones time 24h makes expiry date showing workaround shouldnt solution whats funny shows expiry date 12h format,positive
starbucks trademark allows make horrible mobile appeverytime token offsession expired set new freakin passcode every goddang timeeverytime press passcode keyboard disapper press keyboard appear actual fcome make proper mobile app spend great deal money hire mobile developer make customer enjoyful experience time using appyou welcome,positive
nan,negative
love app much,positive
boro2 make daftar aja ngtidakbisa centang ijo koreksi lengkap tidaktidakl mulu dih,negative
otapi dri hp tapi kalo email uda refresh email kali ttapi aja,negative
suka akun udh gitu tidakbisa masuk incorrect pass email pdhl udh bener,negative
tidakbisa join tulis password sesuai udh sesuai dentidakn,positive
already fill form following instructions still sign,negative
update masuk aplikasi,negative
download sign aja tidakbisa kali kali passwordnya sesuai sesuai ceklis tetep tidakbisa jutidak,negative
update baru expiry date level member rewards tiba2 rewards hilang aja karna expired starbucks balikin rewards customer expired karna apps muncul info please fix,positive
kadang gue sampe diri menit kasir nunggu loading tab pay simple pls fix sinyal loading,negative
app used sign automatically want sign atidakin always stuck otapi please fix,positive
server eror trus pas registrasi udh lanjur aktivasi kartutidak pemberitahuan kalo server samping bantu selesai,negative
kicked espc ehen tried pay,negative
error malu maluin aj antri kasir,negative
dikit2 buka aplikasi suruh update fitur signifikan seriously make simple dikit2 bug fix etc sbnrnya jutidak bantu,negative
yes,positive
tau log bilangin kirim verification code email trus coba kali kali jutidak coba website hasil nihil jutidak baik ya,negative
always logging needs take forgot password unfortunately changing password needs effort failed failed atidakin always took home sign page trying create new password ruined reputation darn,negative
already make password already contain terms press continue says password needed contains least caps non caps letter,negative
kacau kacau saldo 100k layang,negative
update expired rewardnya tetep aja null,negative
ios aplikasi diupdateupdate bikin pakai ios baru please developer usaha jantidakn malas mengupdate aplikasi sebatidaki sistem bayar jebol jarang diupdate reputasu starbucks sebatidaki taruh,positive
log alas password email valid ssudah valid passwordnya penuh syarat,negative
bayar starnya tambah tera transaksi kartunyatanya csnya jawabdaftar transaksi ngecek terakhirkalau pake isi pas beli aja,negative
frequent app crashes even switching pay rewards section almost every single time moment wanted check balance app closed force prompting relaunch app going passcode input processmoreover switch another app short go back app always ask passcode followed another loading time get account previous issues might happen soon afterthis app needs serious attention developments might well redesign whole thing ground,positive
app manfaat memsudahkan sempet email update bom solved jutidak,positive
iphone ios buka langsung otomatisss mohon arah,negative
registrasi tidaktidakl keterantidakn ssudah daftar login incorrect,negative
sign kode otapi kirim handphone,negative
menu ntidak akses,negative
aplikasi pakai,negative
login salah pass udh bener pass nya sampe ulang kali bikin pass hasil nya aja udh uninstal instal tetep aja bad,negative
uncomfortable working error app fix loarding issues card help us care app long time year im already try registration almost failed,negative
ya susah bgt log pdhl password nya sdh,negative
signup,negative
hak confirm mba kasir serah minum dentidakn mba beda sesuai awal protes keseeuaian awal ssudah ok knyataannya bilang tidakbisa lempar starbuck yasmin bogor,positive
lambat upload ktapi upload foto selfie tidaktidakl,negative
ribet,negative
ya reward star expire redeem null tolong baik rugi star katidak redeem,positive
otapi email always come late expired whenever input well goodbye good sbux,positive
tolong upgrade stuck loading upload foto nya hmm nanya karyawan store jutidak ntidak tau ntidaksih solusi hiks,negative
beli tumblr plus minum sampe 500rb history nya bayar pake sbux card jg top history top upnya tidakada niat dpt reward zonk rugi deh,positive
relog relog every time app updated really app makes silly thing like time disappointing,negative
instead passcode use face id touch id tired typing passcode every time open appand character requirements creating password hard hardest ever create password coffee app password seriously,negative
sorry uninstall aplikasi tutup otomatis sulit akibat better hapus aja dr penuhin memori ssudah santidakt jarang belanja sbux kopi tarik kalah dgn sbux hartidak jutidak saing,positive
hire qa appnya kalo niat tidakusa bikin,negative
sorry add card reserve starbuck card bought never add like card never bring outside put home want add card said card numberpin incorrect one active another card already hve card one account cards inactive active back,positive
perangkat ios muncul tangtidakl expired rewardnya tera expired date null buang gitu aja rewardnya karna tautau expired tolong baharu aplikasi,negative
force close waiting payment,negative
pesan aplikasi kirim go grab ttapi poin rewardnya,negative
login,negative
always ask passcode time run appclick menualways force close app,negative
big company like starbucks prepare better online platform especially customers use payment rewards purposes please fix wont able use starbucks card dont physical card rely app app doesnt work,positive
sign aja susah banget ribet password musti karakter dentidakn berbatidaki keribetannya diikutin ngtidak sign jutidak ribettttt bikin aplikasi gimana sih,negative
crash balance tercan notum suka close app sendirisuda uninstallskrng login,negative
sudden crashed open,negative
ntidak buka aplikasi,negative
automatically closed click menu,negative
could please fix course dont carry physical card whats point app bring card well,positive
opsi delete card pilih report lost card hayooo,negative
kalo buka aplikasi suka close ssudah uninstall reinstall tolong ssudah berbulanbulan,negative
like app cashless cardless using app simply dont open wallet using app,positive
hi starbucks indonesia masuk guna starbucks card aplikasi starbucks id billingnota dlm bentuk ebilling kirim emailaplikasi sedih billing geletak kasir tambah history belanja kadang customer food beverages merchandise ssudah beli periode kebelakangitu semotidak tim starbucks indonesia mentidakomodir butuh customer yaa thx,positive
trying make account password always wrong expected much,negative
youre application usseles create new account always wrong password,negative
aplikasi mutu,negative
developer seems like making life difficult closing way topup using credit card filthy move store doesnt want pay mdr instead prohibit topping credit card dont make able transact using credit card via app latest developments forcing user use digits pin okay security horrible steps customer convenient app keeps asking pin even changing app less couple seconds know frustrating gets whenever long queuing store reaching front line still need boot app atidakin input pin please keep trends maybe using touch id face id save barcode using integrated apple wallet like caring sane developer app think another thing cool ordering app coffee chain allow customers order app oh wait perhaps coffee instead store loves making painful customers end like guys always says venti day,positive
aplikasi susah sign masukin email pwd get fix,negative
login otapi masuk2,negative
crashed touching  menu  store please fix asap,positive
hi log aplikasi ios otapi email isi otapi masuk santidakt jam page unyuk memasukkin otapi nya expired please fix asap,positive
since last update loading takes forever repeatedly constantly asking pin crashes lot,negative
world wide brand like starbucks mobile application embarrassment every time application needs update error always occurred worse part even updating another error signing need input otapi sent email course working much easier using card using app quite long time improvement terms performance bother good uiux general application working properly shame starbucks indonesia,negative
diupdate crash klik menu log dentidakn pin,negative
force close buka menu lokasi ssudah coba uninstall install lg jutidak please fix,positive
upgrade aplikasi tdk buka tampil sign tolong kembali versi,negative
needed top couldnt app,positive
hv filled data requested submit sign always wrong password character made sure everythings suitable please fix itthank,positive
min tolong bikin unlock app pake finger print masukin passcode simple nih,negative
apps worked fine iphone6s recent socalled premium upgrade went offline never access afterwards jantidaknkan utk login setup password saran barista outlet aplikasi crash tutup klik ssudah uninstall reinstall 3x pisah kenapaa ini starbucks indonesiaa,negative
aneh banget dapet email tambah poin birthday abis update jantidaknkan poin birthday poin aja ilang,negative
always log login asking otapi atidakin input otapi wrong code,negative
akun pas masukin email pw mya tidakbisa masuk situ waras,negative
try sign many times said server error,negative
even sign even follow instruction correctly worst app ever,negative
update tangtidakl buka menu langsung crash shut applikasi tutup keluartidak applikasi mohon baik,negative
kirain date lbh tidakmpang ribet kudu masukin pin dll kaya starsuck,negative
crushed time,negative
upgrade premium mentidakmbil foto id card tibatiba aplikasi tutup ulang login,negative
can not topup va days ago automatically sign sign say type wrong password late response handle forgot password tiring please make better improvement,positive
got new updated data application log ask atidakin password unfortunately keep forgot password need reset password atidakin happened allthe time guys make updating data,negative
everytime want enter app need sign enter otapi email made like problem,negative
application always force closed open menu tab,negative
please make available login using face id touch id instead passcode,positive
dear developer team login email please something,positive
happened update couldnt sign account system said password wrong store password keychains theres wrongi tried reset password couple times always failed please fix,negative
pls bring back credit card top,positive
update login bilang email invalid coba reset password terima email link reset reset password failed,negative
aplikasi guoblok tolol anjing kau,negative
sistem passcode santidakt buruk developer bkin efisien kali masukin passcode udh dalem app cih,negative
back end really need fasten sending otapi code retry times finally got one mail apps crash login making unusable deal bugs terrible login experience frustrating,negative
use without update login update unused balance expired promo drink wont get point starbuck rewards system useless,positive
aplikasi tidakbisa buka tulis  our system temporarily due system maintenance update stlh update mas tdk buka jg coba delete app reinstall tulis muncul buka tolong update baik bugs nya trimakasih,negative
app starbucks tulis system temporarily due system maintenance ssudah tolong baik cepat,negative
open application close automatically open apps ios,negative
ever sari coffee announce event using payment wt starbucks card mobile application else server maintenance stupid management,negative
update versi app buka langsung mental wtf,negative
always lag slow open app always maintains,negative
update ios baru starbucks apps terus mati self exit tolong cek santidakt mengtidaknggu terima kasih,negative
session timed asked login atidakin tried asked email verification email never received even times retrying ridiculous,negative
batidakimana lapor performa buruk baristasaya aplikasi memsudahkan bayar penting tingkat kualitas puas pelangtidakn,negative
suka log log nya jutidak masalah sehintidak hrus forgot passsetiap bawa kartu mau apps aja apps banyak log outtolong diperhtikan,negative
opened app force closed afterwards jantidakn suruh uninstall install ya salah app jantidakn user beban salah developer,negative
apps error quit press login already uninstall reinstall apps nothing changed apps always crash quitas big brand worldwide took long fix broken apps please fix dont want sbux loyal customer move coffee shop cheaper tasted better great service,negative
ssudah update ios ssudah uninstall install ulang langsung close pas buka please fix immediately,positive
everytime want use apps always crash pleas fix,negative
buka menu pay stores keclose aplikasi ngikutin saran delete install ulang tetep,negative
want click virtual account loading force close please fixed thank,positive
payment loading transfer kartu force quit trus,negative
null rewards liat exp jadinyaplease fix,positive
bolbal masuk mesti sign ulang password bilang salah email reset jutidak sampe nya lamahadeeeh plish brand gede niatin dikit kali klo mo bikin apps,negative
app tutup alias force close alias crashing please pay attention app people think dont budget pay app development maybe actually true,positive
kode sandi kode aja kah kalo face id touch id gimana,negative
search store sebar bal app nya,negative
everything good,positive
force close mele hedewh keluhanya pd lho baik,negative
apps starbuck crash ios iphone seplease fix,negative
force close mulu cacat,negative
habis update appntidak mental mending tidakusah update,negative
sign aja tidakbisa sih,negative
pas buka option menu store force close,negative
helpful see earning stars transactions,positive
pls fix app always crash whenever try open,negative
wanted add another card put details kept saying input wrong card number pin checked multiple times please fix,negative
update versi informasi expired rewards nya null dibaikin gimana tau rewards expired,positive
request time outforce quittake minutes loadingdid pass qa test update many bugs dissapointed,negative
updateternyata menu storetidak bukaalias hilangdi aplikasi ios versi mohon cross check,negative
mempermsudah kece saldo promo,negative
hi development strabucks appthank notice update app still bug made app force close often time,negative
update gk buka menu n stores nutup,negative
everytime go menu tab loading white screen seconds afterwardsforce closed using iphone ios,negative
application connect server,negative
difficult build simple app unbelievable keep screwing atidakin atidakin atidakin new version click menu location crashi apps phone use regularly starbucks one asked atidakin atidakin login unbelievable ones atidakin bin,negative
often force log often incorrect password sign,negative
hello guys top sbux card transfer klik reload pilih nominal muncul nomor rekening top credit card ssudah laku semenjak april,positive
always incorrect password im registration please fix,positive
va showing want top overall app good,positive
bad app anyway pls fix reward expired date show null member since date also show null,positive
annoying really annoying always signedout defaultsometimes people dont remember password stored application presume application made make live easier eventhough request new password still annoyed go back retrive emails box forth anyway enhance application using finger print signin please set application prevent auto signedout thank,negative
always written card number pin incorrect although already put right card number pin pls fix,positive
reward expiration date null longer top card registered cc within app cashier told starting months ago top made store cashier seriously whats point electronic money embedded digital loyalty card people still need pay cash top useless bring back seamless cashless top method,positive
sdh kali masukin kode verifikasi emaildan sdh resend kodenyakok tidakbisa ya kode verifikasinyatolong baik dentidakn baiknyathank,negative
salah sdh ikutin mohon baik,negative
appsnya lumayan manfaat lihat saldo topup purchase lihat store via app starbucks fitur daftar transaksi website buka web check ulang transaksi kartu sbux thank keep good work,positive
wrong app,negative
dapet starbucks reward green level si grande pas beli udh bilangin grande mba eh kasi tall kalo g ntidaksi minum gratis tulis aja tall jantidakn grande kecewa banget pdhl udh ngumpulin points dr kpn tau,positive
terhormatdeveloper aplikasi danpt sari coffee indonesia mohon tambah karakter kolom password login sign karakter sedia isi sd karakter karakter diinput kartu fisik sbux card edar tangguhtidak tahan lamatidak tahan gesek sebab biaya buat kartu murah mohon baik sistem aplikasi sajakarena aplikasi mantap kartu fisik kualitasnyaaduhbisa simpul sendiriterima kasih perhati kerja sama,negative
tried reloading card use credit card hell,negative
apps isnt done well yet sign automaticly without notification difficult sign back sign correct email n pass,positive
revisi dongisi ulang 50rb plzmakasih,negative
tidakbisa top pakai credit card please kembali version aja,positive
since last update see rewards validities lost reward dont think youll compensate seriously youeverything nullplus top via credit cards really must jokingfix,positive
please fix bugs,positive
worst app ever starbucks standards app keeps crashing iphone balance still one day top,negative
isi ulang via debet hilang isi ulang ribet banget isi bank kena charge maaf starbuck kali kecewa,negative
ya sign email dab password ssudah reinstall aplikasi jutidak sign binguntidakutu,negative
susah bgt ya login nya pdhl email sandi bener,negative
benerin deh ntidaktain kendala perangkat liat tuh jutidak kendala apk nya,negative
gw ngopi maxx coffee aja kalo dibenerin hehe,negative
updated app tried log back wasting time wait verification code thru emailwhen tried reload card theres credit card payment options anymore thus go back forth copy paste send money virtual account created starbucks waste timeto remove credit card payment options online wrong move bye ribet starbucks,negative
app automatic closed clicked transaction history,negative
want login send verification code email email others send via sms omg login waste lot time better use card physically ask barista rather using app,positive
fix itbalikin deh lancar reward dsbini login aja masuk,positive
suddenly logged always asking verification code never get please fix app used great,positive
happened getting worse ready dont launch app always problem,negative
tidakbisa top loading malesplease balikin ky,positive
bikin password aja ribet banget coba,negative
logged constantly ask verification code everytime wan na log back wast amount time rest people waiting line behind inefficient,negative
login karna kirim verifikasi berhari2 email,negative
got email starbucks started 1st may says would able topup virtual account upgrading apptried open virtual account since 1st may upgrading loading sign keeps spinning long time still can not access nowplease fix thank,positive
sends panic attacks can not using immediately approaching cashier pretty sad company magnitude,negative
much bug update app,negative
topup credit card anymore gon na wrong move application doesnt operate optimally always comes application gets stuck payment method fiuh,negative
aplikasi jelek bangun orangorang bodoh,negative
therefore can not log inspend money really needed,negative
bener topup pake creditdebit ditidaknti conventional bank transfer super ribet ditingtidaklkan wtf,negative
login app never logout account suddenly log login,negative
perintidaktan ssudah login perangkat akun terlogout coba masuk apps passcode ssudah minggu buka passcode closed apps pasu passcodemohon baik,negative
problem rest users never logout account suddenly logout every time tried login keeps showing popup saying login device pick sign wont let login saying ive blocked many attempts login twice would described manyi think starbucks big brand company even maintain app shame,negative
upgrade versi baru crash tolong baik jantidakn aplikasi guna,negative
keep crashing use longer provides credit card option reload payment,positive
reward membernya laku enak reward free beverages food whole bean kumpulin takut hangus pantes aja ratting apps anjlokbgt,positive
way reloadtopup previous version credit card new update allows bank transfer practical method payment method best practice add method remove doesnt vendor know simple ux whoever decide sacked immediately,positive
top credit card anymorewrong move,positive
worst app,negative
looping forever view data,negative
updated newest version sbucks apps crashed sign apps apps immediately closed,negative
crash whenever tried reload value information valuable r rewards,positive
bolakbalik log log oh,negative
dear developer couldnt get pass security code front it froze immediately shut please update app could work normally atidakin app really helped top mu card pay orders breeze quite hassle access web version manage everything,positive
app well maintained performance small chances able login poor system support daily regular app people use great name always delivery great service,positive
many times log said ive already login different mobile totally weird since login iphone never login another mobile said need signout another login different device heck dont tried login locked account saying already reach login attempt yet tried login times fix stupid,negative
problem maintenance app sign please help,positive
reward gold member tiba2 hilang ssudah top saldo 200k via debit bca spy dpt reward reward jutidak,positive
tulis good afternoon mulu,positive
app great makes transactions lot easier please make stable clear great enough think make card picture looks hd please make better make able put card apple wallet,positive
whats purpose app login first place,negative
aplikasi memsudahkan sebatidaki guna khawatir bawa dompet starbucks karna langsung bayar dentidakn aplikasi dentidakn sentuh jari topup aplikasi topup via barista u gon na love,positive
make sure use apps anytime,positive
loading teus freak,negative
halo app atidak bingungin tidakmbar kartu beda beli kalo milih tidakmbar please bring back old app bbrpa kartu daftarin ngtidak tidakmbar skali please fix thank,positive
apps work always error,negative
login otomatis cek saldo kartu cek reward usaha aplikasi kecewa,positive
suka tiba2 logout ux g enak,negative
tdk login pdhal rewardku,negative
app really great explore,positive
login app access web please fix,positive
langsung login pas download trus besok tiba2 kelogout gk login,negative
since starbucks keep insisting using strong password often times id forget password hassle starbucks limits login attempts times ban us mins doesnt help app often doesnt anything display error message press log button yet already counts towards login attempts ban bad app least lifting login attempts ban least could fix,negative
can not login plz fix,negative
update tuh biar bener pake ubah tampil liat rapih ya kalo muter doang apa2 ya gimana yah guna,negative
stuck last password digits,negative
kali login gk bisaserver masalah,negative
can not login can not purchase anything,negative
tolong update donk minimal team developer nya,negative
hello guys login ios try app store working guys try login ios good,positive
app always error iam try sign ooh starbuck please pay attention customer,negative
sing,negative
always shutdown process fill credit card token please fix can not top starbucks card apps thanks,positive
please fix versioncrash sign pascode lock,positive
ssudah beli kartu isi saldotidak bikin account ssudah diaktivasitlp customer service susah masuk trus pas masuk ditidakntung hasil ngomong,negative
really wanted try app disappointed didnt work even sign huftttt,negative
program crash log saldo buanyak busa trick kembang app mampu baik,negative
never bring physical card ever since use app today suddenly logout tried login said email pass invalid tried 2nd time said login another mobile tried reset pass took forever still doesnt work can not login using old new password fix please,positive
refreshing balance slow topping even slower,negative
top pakai cc check stars check balance check rewards check promo lancar aja guna ya,positive
login cepat top pake cc cepattidakmpang happened others,positive
abis update login diweb jutidak gonta tidaknti pasword jutidak tetep,negative
thought app could order sum drinks like starbucks barista said couldnt sooo order online,positive
aplikasi sign sign reset password jg bs untung hapus wkwk,negative
hard login,negative
app suddenly showed session expired please login atidakin making payment keep crashing entered pin wouldnt even get main page,positive
mang foto mantan dompet pajang,negative
reload card,negative
previously ill give star update even star much people use app manage sbux card apps didnt show registered cards older version show mine yes still transfer previous card new one search manually one one hassle dev seems dont even thought fix issue,negative
every update forces logged retrieve ecard pay earn stars reward might well use bca promo instead ridiculous 3rd time,positive
please update app,positive
inactive kartu inactive nyatolong benerin,negative
latest update even login app interface look smaller iphone updateuntil theres still improvent still log apps need fix asap,negative
login,negative
reset password tolong baik,negative
app always sign tried sign says ive already log another device got blocked 30minutes blaaahhhh,negative
crash everytime tried login,negative
please starbuck id need fix signup system password already input mix letter long numbertext always failed thanks,positive
always crashed reload hole,negative
quite good appbut crashed try reload 100k card,positive
easy last one always timeout whenever want use feeling make people waiting behind comfortable,positive
worst application ever,negative
login upgrade versi baru batidakimana,negative
unsecure apps beware identity balance stealing fraud think application said ive logged another device true balance reduce almost zero rp,negative
log account said ive logged device didnt fix please,negative
please please add  manage option need remove old cards,positive
reason said connection server new app really bad loading took long many loading app every screen every loading think one loading needs minutes imagine topup needs loading much total time need wait minutes ya imagine lots people behind wait long please fix issue really painfulalso barcode app smaller old app difficult scan makes phone literally touching barcode reader good please fix change rating guys fix issues told love starbucks buy almost everyday,positive
diupdate muncul kartu kartu saldo hilang aplikasi lagbaik sign top dll baik aplikasi sampah,positive
excited bgt launching system klo app nya kyk gin sih mendintidakn rollback aja versi app test sih launch like users said comment section totally failed noob app developer,negative
coba login bisa2 ssudah uninstall install berkali2 aja bskecewa bgt,negative
tidaknti aplikasi login susah banget trus bonus blom ambil hilang payah ni rugi customer tuu,positive
ubah program aplikasi data couldnt read isnt correct formatmohon baik,negative
application ok many bugs crashes several time opened logging saying internet connection connection damn finenot mention feels heavy way keeps loading loading making wait redeem rewards,positive
tipe upgrade lemooott bangeeet,negative
starbucks card app real starbucks card app balance remember still balance real card want add real starbucks card said card number pin valid please fix,positive
dear starbucks please fix problem since last update apps getting worse even open apps happy using old version simple useful thanks,positive
mending deh akses nya msudah cepet loading refresh kelarkelar koleksi kartu starbucks lamalama display kalo display image nya doubledouble gituduh ntidakpa dilaunching sih kalo gemes,negative
worse bronging card always mess queue line always busy can not get barcode,negative
ordered drink app couldnt opened uninstalled reinstalled still couldnt login server busy believe,negative
suddenly logged login atidakin says wrong id password,negative
kasir bayar via apps dadak eror hingtidak muncul nyata login perangkat update update vendor sanggup mohon tidaknti dentidakn vendor,negative
udh byk cafe spt coffee bean maxx coffee dll enak murah jantidakn starbucks lg yah itung2 bs save moneyliat aja saldo ilang rewards ilang mampir cafe curi bodoh,positive
duh biasa depend banget pake apps bayar sekali upgrade log mulu kesel ampun starbucks indo whyplease make sure wan na launch something new ur digital product pay people qa live cuan revamp apps downgrade kualitas parah banget sih first section aja failed sign bom aja nih lik dalem baca review orang smp kena problem semotidak team productionnya solve bugs cepat deh goodluck ato balikin aja versi bom wk,negative
card design erased cannt choose favorite card design apps,positive
kalo gin cepet pake kartu fisik deh app sblm oke btw balikin aja versi also imho tab menu,negative
please fix bug bcause open apps,positive
tiba2 log check saldo sb card,negative
suddenly log sign atidakin said invalid idpassword,negative
parah gw sampe reset password trs aplikasi bonus gw ilang smua parah parah woii baca woiiii starbuck,positive
upgrade ok upgrade good loading pls baik,positive
fix,negative
log keeps saying invalid email password says already logged another device,negative
need fix app crash reloading balance starbucks card via credit card,negative
pas sign error passwordnya bener,negative
ui cleaner previous version term performance lot laggy multiple login across devices stupid login session stupid new reward system,negative
login tidaktidakl ssudah register password,negative
proses sign repot lupa password ktk buka link exipred,negative
can not sign update plz fix,negative
stupid app login app says wait minutes call customer service customer service closed pm fix app shut wonder rating bad,negative
always crash whenever try reload using cc lets wait see whether balance charged cc,negative
please fix app,positive
lost previous reward drinks sad kills enthusiasm use app starbucks card,negative
nan,negative
still login till please fix problem asap,negative
aplikasi bobrokbalance 19ribuan lenyaapppp,negative
lost reward still free drink reupdate starbucks card reward im disappointed,positive
update ngtidak sign paraaaaaaah failed,negative
previous reviews old recent update turns app fresh stable,positive
says already log device,negative
fix server,negative
pas pencet forgot password dapet link change password tombol savenya hidden pas masukin new password,negative
lost balance rewards history slow response customer care,positive
update card available anymore add app keep saying card number pin incorrect,positive
login since password fied limited characters guys thinking password chars fine previous versionand use old iphone layout really layout ugly button font everything look big dumb iphone starbucks big company please least make decent app,negative
hello havent able login starbucks indonesia app past days changed password still couldnt login app although could login via website please fix issue getting really annoying,negative
ngtidak update ngtidak update parah,negative
update aplikasi login points gw gimana nasib,negative
update can not login keeps saying need log another device,negative
log email invalid already log device aplikasi berat bgt log upgrade bagus simple,negative
failed sign,negative
ntidak log update tampil app ciut kayak pake iphone,negative
new app keep rejecting login claiming invalid username pass tried logging atidakin says im already logged another device everytime reopen app crashes logged go pain failed log ins atidakin expect people use app couldnt even log inyou guys amateurs fire tidakrbage 3rd party developers fix damn app guys charges dollars coffee couldnt build decent app probably cheap hire good developer stop pretending 3rd tier tech company youre selling people could afford sachet coffeei would give lower stars appstore wouldnt let give lower star,negative
even resetting password still unable login,negative
updated password allowed characters really,negative
stlh update sy tdk bs login,negative
update login karakter password masuk password karakter habis update langsung auto logout tolong dibenerin tingkat iphone ios,negative
diupdate ngtidak full screen serasa aja,negative
crashed everytime trying login please fixed,positive
updated newest app sign dont know informed emailpassword invalid,negative
buka lowontidakn kerja starbucks aplikasi update login,negative
update iphone tampil full layar,negative
aplikasi tolong benerin lagitidak log,negative
login suruh download update update,negative
can not log,negative
fungsi reload jalan masuk payment methods force closed,negative
update tidakbisa log parah kalo bom update aplikasi tidakusa maksain update,negative
although app helpful want option change card image back nice change base mood season without actually purchasing one,positive
ribet,negative
benerin jancuk,negative
update tampil iphone ios full screen atidak blur,negative
lolos qc,negative
banget versi reward reset login ulang akibat lupa password account balance hilang mantap updatean nya sbux gue top,positive
force close opening payment page,negative
tampil ngecil aspek ratio nya pas,negative
login updated apps,negative
update even exist play store,positive
update buka,negative
update bs buka aplikasi notifnya suruh download new app store,negative
one maintaining feedbackask upgrade store version heck can not open allwhat heck,negative
try login says please update version check app store update,positive
opened update aplication,negative
starbucks could made login friendly long password combinations sadly can not paste password must write paper ridiculously safe enter login popup windowupdate entered password respond changed password voila said need wait minutes entered old password correctly times system thought wasnt idea company scenario im store waiting minutes get,positive
download app nya buka home,negative
even log updated appi wish give half star,positive
error always crashed pls fix,negative
ssudah upgrade uninstall install ulang tetep aja cardless scan barcode,negative
cinta starbucks app wajib helpful manage sbucks card future devlpmnt pls integrate touch id face id instead using passcode unlock app,positive
pls support iphone x layout,positive
hei starbucks serious running apps stupid,negative
bad,negative
refresh saldo topup,negative
compatible iphone x,negative
purchased minum regular dentidakn minum special price minum regularnya hitung reward terkadang purchased minum regular server eror belakantidakn reward masuk tolong kondisi terimakasih,positive
santidaktdisayangkan aplikasi memsudahkan konsumen belanja minum merchandise etc katalog produk lengkap sulit guna tunggu perkembantidakn signifikan websitenya,negative
tiba2 update saldo sy install ulang login please update app,positive
work perfectly week ago couldnt refresh balance signed reinstalled app atidakin many times always said failed login tried signing please something app really help make purchase,positive
ssudah kali kali coba sign muncul login failed ssudah tidaknti password login webtolong baik bayar lalu aplikasi,negative
belakantidakn connects server reinstall login,negative
sign alas konek server niat bikin app nya,negative
log tolong baik,negative
starbucks card cek smartapihone,negative
nyaman aja bgm starbucks gin,negative
reload saldo koneksi bagus,negative
butuh login failed,negative
login failed email password ssudah,negative
ok app starbucks masalah bbrp hr refresh isi kartu tepat coba log ngtidak masuk,positive
ssudah tidaknti password atidakr sign aplikasi passwordnya ssudah dentidakn password failed login,negative
can not log even tho correct credentials,negative
application suddenly force close everytime tried reload,negative
fitur jalan tidakbisa update,negative
berulang2 hang reload isi ulang,negative
appsnya emang susah,negative
